"Sc","Kgp"
12.5664,1.65
17.7205875,2.25
0.0491,0.026
0.0962,0.026
0.0707,0.03
0.2376,0.076
0.3848,0.083
0.2827,0.106
0.2827,0.112
0.9503,0.225
1.2272,0.355
1.8869,0.426
3.3006,0.584
2.9104,0.608
2.4053,0.643
1.2272,0.659
3.8013,0.812
3.8013,1.031
14.86,1.268
9.787,1.366
15.2053,6.596
0.0529737559161394,0.01
0.0816998477837604,0.02
0.157015830798444,0.08
0.377632291982261,0.08
0.203488844519863,0.09
0.284085612200672,0.12
0.522316204596009,0.12
0.689604164562745,0.15
0.879307368920903,0.17
1.09126211596072,0.28
1.58136402036727,0.32
1.85926548752589,0.37
1.26474328892061,0.44
2.15892209710635,0.47
2.48023618738243,0.56
3.37769594368146,0.96
3.98035267897477,1.01
7.4219725004077,1.01
5.32897202444421,1.08
4.63085055817579,1.1
3.09438124850497,1.16
2.91219772464111,1.19
4.8582764432283,1.32
8.59387999493285,1.43
6.0745161770148,1.63
6.33353664907395,1.86
8.14465682702308,2.07
13.5362629923572,2.14
11.0149296728071,2.24
17.3593655054344,2.53
16.5162511778232,2.54
12.9747916271454,2.65
9.84889149306111,2.67
22.8441947696576,2.74
9.52736665879938,2.8
11.8864908457504,3.03
10.5074539328036,3.04
21.4046752539833,3.05
6.86729645589608,3.22
25.8593191541242,3.51
23.82909671199,3.54
26.9045901610889,3.55
14.1092619588814,3.64
19.1065867779278,3.77
22.3593072222328,3.88
20.4702562802886,4.65
16.9352638598374,4.84
15.8972823681073,5.48
18.2228205990245,5.82
24.834146514206,6.24
7.79114978090269,0.863333333333331
2.38761041672824,0.628999999999998
2.82743338823081,0.517999999999999
7.25707902979242,1.19633333333333
1.42942465738336,0.382333333333332
1.97920337176157,0.308333333333332
1.09955742875643,0.295999999999999
3.76991118430775,0.776999999999998
1.83783170235003,0.369999999999999
3.45575191894877,0.431666666666666
0.604756585816035,0.123333333333333
9.61327351998477,0.702999999999998
0.494800842940392,0.0986666666666664
0.117809724509617,0.0493333333333333
0.502654824574367,0.148
1.41371669411541,0.332999999999999
0.188495559215388,0.074
22.9728962793754,2.65166666666666
3.1101767270539,0.394666666666666
11.1447999386098,1.94866666666666
1.06470124367693,0.048
2.69913005782406,0.048
0.880854217909364,0.057
1.22585531603341,0.142
1.17223768617354,0.144
1.61995582893468,0.144
1.9050585795363,0.144
3.81195204986819,0.288
0.902557752104668,0.336
2.28257952459507,0.384
5.86073731725428,0.432
2.43911659015563,0.48
2.17798319797594,0.576
5.96131915402541,0.576
5.45770304384557,0.768
5.01297584055895,0.864
3.97560332907502,1.152
4.54632899708551,1.152
5.96131915402541,1.248
4.95221131209284,2.112
0.24,0.03
0.24,0.036
0.28,0.036
0.2,0.045
0.5,0.076
0.51,0.094
0.33,0.098
1.56,0.101
1.92,0.229
1.25,0.23
1.56,0.245
0.8,0.254
1.56,0.263
1.05,0.275
1.8,0.465
2.45,0.547
2.31,0.557
2.31,0.604
2.04,0.671
2.88,0.776
2.45,0.804
1.8,0.825
2.04,0.911
2.17,0.915
2.58,0.981
4.05,0.983
3.87,1.128
3.2,1.25
2.59,1.558
3.2,1.633
7.03716754404114,5.64480000000001
0.628318530717959,0.537600000000001
2.9845130209103,1.40373333333333
13.7444678594553,6.63040000000001
0.934623814442963,0.567466666666667
0.302378292908018,0.149333333333333
8.48230016469244,5.73440000000001
1.42942465738336,0.985600000000001
1.12311937365835,0.746666666666668
1.64933614313464,2.00106666666667
1.06028752058656,0.716800000000001
6.28318530717959,2.5088
4.71238898038469,2.24
2.68606171881927,0.955733333333334
0.494800842940392,0.2688
2.68606171881927,2.26986666666667
2.40331837999619,1.67253333333334
4.83805268652828,1.64266666666667
1.02101761241668,0.686933333333334
12.3700210735098,5.52533333333334
2.1,0.35
2,0.47
2,0.475
3.2,0.61
2.2,0.74
3.6,0.895
4.3,1.385
3.7,1.48
2.9,1.51
2.9,2.065
3.4,2.435
3.6,2.475
3.3,2.995
3,3.18
3.8,4.635
3.2,4.935
6,5.4
3.8,6.73
3.4,7.225
4.2,12.71
3.7,18.925
0.0488923985178303,0.038
0.13411987054354,0.082
0.526404974276444,0.096
0.687549354156988,0.101
0.870179651354938,0.453
1.22230996294576,0.912
1.54698604685322,0.952
2.18659793215093,1.872
3.12911350514114,2.832
18.3537480373574,4.964
11.4639305509092,5.952
11.2311664466373,8.592
30.1769708722965,14.112
22.0779737057077,15.12
0.5,0.01
0.2,0.04
1.4,0.05
1.5,0.06
1,0.07
2.4,0.11
1.3,0.14
3.1,0.21
4,0.27
3.3,0.36
6.4,0.6
6.6,0.76
9.6,0.79
16.6,1.03
9.6,1.04
15.9,1.06
10.2,1.15
7.5,1.17
7.1,1.2
7.1,1.31
11,1.34
14.2,1.64
13.2,1.65
18.9,1.83
15.9,1.84
15.9,2.02
22.9,2.27
50.3,2.63
21.6,3.55
17.7,3.96
26,4.01
19.6,4.08
38.5,4.38
38.5,4.64
28.3,4.83
36.9,4.86
12.6,5.25
41.3,5.6
23.8,5.63
35.8,5.82
